Liiklusregistris 2017 aastal esmaselt registreeritud veesõidukid.;;;;;;;;;;
;;;;;;;;;;
Eestis esm reg kp;Liik;Tüüp;Kategooria;Mark;Mudel;Ehitusaasta;Kere materjal;Pikkus;Varasem kasutus;Arv
11.04.2017;Väikelaev;Sõudepaat;D;KASSE;430;2017;Plastik;4,27;Uus sõiduk;1
11.04.2017;Väikelaev;Sõudepaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
11.04.2017;Väikelaev;Mootorpaat;C;SILVER;WOLF DC510;2015;Alumiinium;5,1;Uus sõiduk;1
11.04.2017;Väikelaev;Mootorpaat;C;BAYLINER CAPRI;1952;1988;Plastik;5,82;;1
11.04.2017;Väikelaev;Purjejaht;B;COMFORT;30;1979;Plastik;9,09;;1
12.04.2017;Väikelaev;Sõudepaat;D;OMAVALMISTATUD;-;1990;Plastik;2,43;;1
12.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D345;2017;Sünt. kangas;3,45;Uus sõiduk;1
12.04.2017;Väikelaev;Mootorpaat;C;AMBER;365;2017;Plastik;3,65;Uus sõiduk;1
12.04.2017;Väikelaev;Mootorpaat;D;MALIBU;450;1996;Plastik;4,15;;1
12.04.2017;Väikelaev;Mootorpaat;C;TUNA;410;2017;Alumiinium;4,16;Uus sõiduk;2
12.04.2017;Väikelaev;Mootorpaat;C;AMBER;430;2017;Plastik;4,3;Uus sõiduk;1
12.04.2017;Väikelaev;Mootorpaat;D;KASSE;455 R;2017;Plastik;4,57;Uus sõiduk;1
12.04.2017;Väikelaev;Mootorpaat;C;CONRAD;900M;1988;Plastik;9,1;;1
12.04.2017;Väikelaev;Purjejaht;A;ITALIA;9.98 FUORISERIE;2016;Plastik;9,98;Uus sõiduk;1
13.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
13.04.2017;Väikelaev;Sõudepaat;D;LATREX;335;2017;Plastik;3,35;Uus sõiduk;1
13.04.2017;Väikelaev;Mootorpaat;D;PERLA;402;2017;Plastik;4;Uus sõiduk;1
13.04.2017;Väikelaev;Mootorpaat;D;TERHI;415 R;1989;Plastik;4,15;;1
13.04.2017;Väikelaev;Mootorpaat;D;WELLMAR;42;2014;Alumiinium;4,2;;1
13.04.2017;Väikelaev;Mootorpaat;C;REMUS;470;2017;Plastik;4,7;Uus sõiduk;1
13.04.2017;Väikelaev;Mootorpaat;C;YAMARIN;475DC;1987;Plastik;4,75;;1
15.04.2017;Jett;Määramata;D;YAMAHA;760;1996;Määramata;2,85;;1
15.04.2017;Väikelaev;Mootorpaat;D;WIGRY;310/315;2016;Plastik;3,1;Uus sõiduk;1
17.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D-325 DZ;2017;Sünt. kangas;3,25;Uus sõiduk;1
17.04.2017;Väikelaev;Mootorpaat;C;DULKAN;D370;2017;Sünt. kangas;3,7;Uus sõiduk;1
17.04.2017;Väikelaev;Sõudepaat;D;NORDLINE;42;2017;Plastik;4,2;Uus sõiduk;1
17.04.2017;Väikelaev;Mootorpaat;C;SILVER;EAGLE BR 640;2017;Alumiinium;6,4;Uus sõiduk;1
